route_long_name,route_type
Acela,NEC
Adirondack,State-Supported
Amtrak Cascades,State-Supported
Amtrak Hartford Line,State-Supported
Auto Train,Long-Distance
Berkshire Flyer,State-Supported
Blue Water,State-Supported
Borealis,State-Supported
California Zephyr,Long-Distance
Capitol Corridor,State-Supported
Capitol Limited,Long-Distance
Cardinal,Long-Distance
Carolinian,State-Supported; NEC
City of New Orleans,Long-Distance
Coast Starlight,Long-Distance
Crescent,Long-Distance
Downeaster,State-Supported
Empire Builder,Long-Distance
Empire Service,State-Supported
Ethan Allen Express,State-Supported
Heartland Flyer,State-Supported
Hiawatha Service,State-Supported
Illini/Saluki,State-Supported
Illinois Zephyr/Carl Sandburg,State-Supported
Keystone Service,State-Supported
Lake Shore Limited,Long-Distance
Lincoln Service,State-Supported
Lincoln Service Missouri River Runner,State-Supported
Maple Leaf,State-Supported
Missouri River Runner,State-Supported
Northeast Regional,State-Supported; NEC
Pacific Surfliner,State-Supported
Palmetto,Long-Distance
Pennsylvanian,State-Supported
Pere Marquette,State-Supported
Piedmont,State-Supported
San Joaquins,State-Supported
Silver Meteor,Long-Distance
Silver Star,Long-Distance
Southwest Chief,Long-Distance
Sunset Limited,Long-Distance
Texas Eagle,Long-Distance
Valley Flyer,State-Supported
Vermonter,State-Supported; NEC
Wolverine,State-Supported
